IMG,BUILDING,GRASS,WATER,ROAD,SKY,TREES,PLANTS,FENCE,CAR,BICYCLE,TRUCK,PERSON,CAR_COUNT,BICYCLE_COUNT,TRUCK_COUNT,PERSON_COUNT,MIN_DISTANCE,MAX_DISTANCE,MEAN_DISTANCE,MIN_MIN_DIST,MAX_MIN_DIST,MIN_MAX_DIST,MAX_MAX_DIST,MIN_MEAN_DIST,MAX_MEAN_DIST
dFDbFmcld1libvL24TGPkgb.png,0.0,0.2601,0.0,0.1044,0.1168,0.4294,0.0891,0.0,0.0,0.0,0.0,0.0,0,0,0,0,5.8549,65.2656,18.1944,0,1,0,0,0,0
sXVl6iOZKRo0dVOWlD1FvAa.png,0.3629,0.0,0.0,0.1069,0.2386,0.0,0.0349,0.0,0.2541,0.0,0.0,0.002,5,0,0,2,4.8266,65.7389,20.1086,0,0,0,0,0,0
WCHdxy2zNolQWWyufYjuBga.png,0.2399,0.0142,0.0,0.375,0.1797,0.1107,0.0442,0.0,0.0354,0.0,0.0009,0.0,6,0,1,1,3.9167,68.7879,24.4615,0,0,0,0,0,0
gdy_vCXvWOYUwxZ6wWSyGwa.png,0.0307,0.2281,0.0,0.219,0.1407,0.3613,0.0196,0.0,0.0004,0.0,0.0,0.0,1,0,0,0,3.5737,66.0578,19.423,0,0,0,0,0,0
ETNuDBYAEGMCdjD-NvcUtAa.png,0.0,0.496,0.0,0.0,0.3753,0.1283,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2.5053,69.6013,24.2545,1,0,0,0,0,0
cpmoRVM7wFTxJq3zC_AeCQb.png,0.1112,0.164,0.0,0.0,0.1673,0.376,0.022,0.1594,0.0,0.0,0.0,0.0,0,0,0,0,5.0118,58.7388,13.3661,0,0,0,0,1,0
tK1zolDWFIdzVCCJvlLDHQa.png,0.108,0.2167,0.0,0.1498,0.3425,0.0806,0.0303,0.0,0.0608,0.0,0.0009,0.0,6,0,1,0,3.623,74.9708,26.8949,0,0,0,0,0,1
j2U4L1qtXjQsKTR8YbN2sgb.png,0.4888,0.0267,0.0,0.1453,0.1869,0.0063,0.1078,0.0138,0.0242,0.0,0.0,0.0,4,0,0,0,5.9096,62.0274,18.632,0,1,0,0,0,0
DpbeF0RN1qdcFH5qPrKBAgb.png,0.0,0.0333,0.0,0.1976,0.0244,0.4839,0.0201,0.2406,0.0,0.0,0.0,0.0,0,0,0,0,3.7661,46.2388,14.5034,0,0,1,0,0,0
4t3wvkdMZiSwRiMEKRlTJwa.png,0.7464,0.0359,0.0,0.121,0.0,0.0,0.0475,0.0,0.0,0.0294,0.0191,0.0,0,3,2,0,3.5784,23.1279,13.5229,0,0,1,0,1,0
fwuPiy3X3QpYr9UmVMZTcAb.png,0.4434,0.0214,0.0,0.2857,0.1773,0.0566,0.0,0.0151,0.0,0.0,0.0,0.0004,0,0,0,1,5.9231,68.5186,19.8669,0,1,0,0,0,0
VVK4dLg9ls3k0sg6Qd9s3wb.png,0.1498,0.0447,0.0,0.1808,0.2214,0.1546,0.1691,0.0764,0.0006,0.0,0.0026,0.0,2,0,1,0,5.5237,71.7078,16.5858,0,0,0,0,0,0
5vndMKxWTshaXpIXbqDs5Qb.png,0.0095,0.2846,0.0,0.152,0.0638,0.4753,0.0115,0.0,0.0007,0.0005,0.002,0.0,3,1,2,0,3.4765,76.5465,18.9967,0,0,0,0,0,0
